,Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
4203,https://kawalpemilu.org#51943,"SAWARNA, BAYAH, LEBAK, BANTEN",12,89,102,191
5242,https://kawalpemilu.org#52049,"KUJANGSARI, CILELES, LEBAK, BANTEN",9,70,113,183
8424,https://kawalpemilu.org#52312,"PASIR NANGKA, TIGARAKSA, TANGERANG, BANTEN",30,99,108,207
1406,https://kawalpemilu.org#51709,"CIGANDENG, MENES, PANDEGLANG, BANTEN",3,52,152,204
11407,https://kawalpemilu.org#52437,"SALEMBARAN JAYA, KOSAMBI, TANGERANG, BANTEN",29,118,82,200
358,https://kawalpemilu.org#51617,"NANGGALA, CIKEUSIK, PANDEGLANG, BANTEN",13,88,95,183
3012,https://kawalpemilu.org#51866,"MANGLID, CIBITUNG, PANDEGLANG, BANTEN",6,58,116,174
13947,https://kawalpemilu.org#52521,"JATAKE, PAGEDANGAN, TANGERANG, BANTEN",7,32,198,230
13957,https://kawalpemilu.org#52521,"JATAKE, PAGEDANGAN, TANGERANG, BANTEN",17,70,124,194
30388,https://kawalpemilu.org#53221,"PISANGAN, CIPUTAT TIMUR, KOTA TANGERANG SELATAN, BANTEN",34,109,122,231
8238,https://kawalpemilu.org#52303,"JAYANTI, JAYANTI, TANGERANG, BANTEN",23,78,187,265
8027,https://kawalpemilu.org#52295,"SUKAMURNI, BALARAJA, TANGERANG, BANTEN",11,32,159,191
3784,https://kawalpemilu.org#89650,"CIMANIS, SOBANG, PANDEGLANG, BANTEN",6,73,10,83
17784,https://kawalpemilu.org#52743,"MANDAYA, CARENANG, SERANG, BANTEN",6,64,171,235
16923,https://kawalpemilu.org#52675,"KRAMATJATI, KRAGILAN, SERANG, BANTEN",9,56,139,195
16599,https://kawalpemilu.org#52655,"CIGELAM, CIRUAS, SERANG, BANTEN",11,66,86,152
24407,https://kawalpemilu.org#53038,"KARANG TENGAH, KARANG TENGAH, KOTA TANGERANG, BANTEN",50,75,138,213
15427,https://kawalpemilu.org#52569,"CIKASUNGKA, SOLEAR, TANGERANG, BANTEN",7,78,119,197
29000,https://kawalpemilu.org#53201,"PONDOK KARYA, PONDOK AREN, KOTA TANGERANG SELATAN, BANTEN",18,95,103,198
24909,https://kawalpemilu.org#53051,"GAGA, LARANGAN, KOTA TANGERANG, BANTEN",24,111,122,233
13440,https://kawalpemilu.org#52501,"PANONGAN, PANONGAN, TANGERANG, BANTEN",6,67,131,198
14472,https://kawalpemilu.org#52543,"KELAPA DUA, KELAPA DUA, TANGERANG, BANTEN",37,78,128,206
21498,https://kawalpemilu.org#52966,"JURUMUDI BARU, BENDA, KOTA TANGERANG, BANTEN",27,34,129,163
30896,https://kawalpemilu.org#53227,"BENDA BARU, PAMULANG, KOTA TANGERANG SELATAN, BANTEN",46,143,79,222
7531,https://kawalpemilu.org#52253,"BANJARSARI, LEBAKGEDONG, LEBAK, BANTEN",1,4,95,99
13997,https://kawalpemilu.org#52523,"KADU SIRUNG, PAGEDANGAN, TANGERANG, BANTEN",15,54,146,200
21533,https://kawalpemilu.org#52966,"JURUMUDI BARU, BENDA, KOTA TANGERANG, BANTEN",68,108,5,113
26125,https://kawalpemilu.org#53102,"TAMAN BARU, CITANGKIL, KOTA CILEGON, BANTEN",21,87,117,204
25531,https://kawalpemilu.org#53076,"KUBANGSARI, CIWANDAN, KOTA CILEGON, BANTEN",17,65,203,268
7163,https://kawalpemilu.org#52215,"SUKATANI, WANASALAM, LEBAK, BANTEN",9,68,124,192
31378,https://kawalpemilu.org#53231,"KEDAUNG, PAMULANG, KOTA TANGERANG SELATAN, BANTEN",87,101,134,235
2870,https://kawalpemilu.org#51849,"JUHUT, KARANG TANJUNG, PANDEGLANG, BANTEN",22,69,160,229
9174,https://kawalpemilu.org#52352,"JENGKOL, KRESEK, TANGERANG, BANTEN",1,103,92,195
4628,https://kawalpemilu.org#51984,"CIBUNGUR, LEUWIDAMAR, LEBAK, BANTEN",14,71,124,195
31699,https://kawalpemilu.org#53238,"KADEMANGAN, SETU, KOTA TANGERANG SELATAN, BANTEN",16,95,158,253
3761,https://kawalpemilu.org#84986,"BOJEN, SOBANG, PANDEGLANG, BANTEN",7,145,45,190
16766,https://kawalpemilu.org#52665,"DUKUH, KRAGILAN, SERANG, BANTEN",10,57,138,295
30060,https://kawalpemilu.org#53216,"JOMBANG, CIPUTAT, KOTA TANGERANG SELATAN, BANTEN",63,109,139,247
9477,https://kawalpemilu.org#52372,"SASAK, MAUK, TANGERANG, BANTEN",2,71,157,228
22676,https://kawalpemilu.org#52993,"CIMONE JAYA, KARAWACI, KOTA TANGERANG, BANTEN",35,90,104,194
12818,https://kawalpemilu.org#52483,"TALAGASARI, CIKUPA, TANGERANG, BANTEN",11,58,117,175
17342,https://kawalpemilu.org#52718,"CIKANDE, CIKANDE, SERANG, BANTEN",38,100,105,205
6937,https://kawalpemilu.org#52197,"CIKAMUNDING, CILOGRANG, LEBAK, BANTEN",1,37,182,219
3954,https://kawalpemilu.org#21960,"TIRTA KENCANA, AIR RAMI, MUKOMUKO, BENGKULU",1,121,62,183
68,https://kawalpemilu.org#20826,"NAKAU, TALANG EMPAT, BENGKULU TENGAH, BENGKULU",1,125,61,186
4081,https://kawalpemilu.org#927477,"WONOSOBO, PENARIK, MUKOMUKO, BENGKULU",3,185,26,211
2327,https://kawalpemilu.org#21479,"AIR NAPAL, AIR NAPAL, BENGKULU UTARA, BENGKULU",1,97,117,214
2204,https://kawalpemilu.org#21427,"GEMBUNG RAYA, NAPAL PUTIH, BENGKULU UTARA, BENGKULU",3,187,46,233
3556,https://kawalpemilu.org#21848,"RIMBO KEDUI, SELUMA SELATAN, SELUMA, BENGKULU",5,125,131,256
4147,https://kawalpemilu.org#22020,"PONDOK TENGAH, V KOTO, MUKOMUKO, BENGKULU",1,75,110,185
455,https://kawalpemilu.org#20954,"GUNUNG AYU II, SEGINIM, BENGKULU SELATAN, BENGKULU",1,128,35,163
3934,https://kawalpemilu.org#21953,"RAMI MULIA, AIR RAMI, MUKOMUKO, BENGKULU",1,154,35,189
2196,https://kawalpemilu.org#21425,"TANJUNG KEMENYAN, NAPAL PUTIH, BENGKULU UTARA, BENGKULU",2,97,68,165
3018,https://kawalpemilu.org#21698,"PAGAR GUNUNG, PADANG GUCI HULU, KAUR, BENGKULU",3,90,61,151
4003,https://kawalpemilu.org#21980,"SURIAN BUNGKAL, SELAGAN RAYA, MUKOMUKO, BENGKULU",2,42,175,217
4090,https://kawalpemilu.org#927479,"MEKAR MULYA, PENARIK, MUKOMUKO, BENGKULU",6,149,70,219
3432,https://kawalpemilu.org#21812,"RENAH PANJANG, LUBUK SANDI, SELUMA, BENGKULU",2,98,153,251
2015,https://kawalpemilu.org#21355,"TAMBAK REJO, PADANG JAYA, BENGKULU UTARA, BENGKULU",3,158,77,235
5937,https://kawalpemilu.org#22324,"TANJUNG JAYA, SUNGAI SERUT, KOTA BENGKULU, BENGKULU",4,106,156,262
4644,https://kawalpemilu.org#42081,"KATONGAN, NGLIPAR, GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA",13,84,35,119
10712,https://kawalpemilu.org#42346,"SOSROMENDURAN, GEDONGTENGEN, KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA",17,143,14,157
9037,https://kawalpemilu.org#42278,"TAMANMARTANI, KALASAN, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",42,101,42,143
10861,https://kawalpemilu.org#42352,"PAKUNCEN, WIROBRAJAN, KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA",33,129,53,182
1102,https://kawalpemilu.org#41957,"GERBOSARI, SAMIGALUH, KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA",2,151,97,248
4329,https://kawalpemilu.org#42062,"PIYAMAN, WONOSARI, GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA",12,106,155,261
7614,https://kawalpemilu.org#42244,"SENDANGAGUNG, MINGGIR, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",17,144,82,226
2997,https://kawalpemilu.org#42026,"BANGUNTAPAN, BANGUNTAPAN, BANTUL, DAERAH ISTIMEWA YOGYAKARTA",74,208,52,260
6226,https://kawalpemilu.org#42174,"KARANGSARI, SEMIN, GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA",8,155,15,170
1754,https://kawalpemilu.org#41985,"SIDOMULYO, BAMBANGLIPURO, BANTUL, DAERAH ISTIMEWA YOGYAKARTA",44,159,78,237
7006,https://kawalpemilu.org#42223,"BALECATUR, GAMPING, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",42,196,59,255
10121,https://kawalpemilu.org#42316,"HARJOBINANGUN, PAKEM, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",6,116,137,253
8592,https://kawalpemilu.org#42266,"KALITIRTO, BERBAH, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",1,155,58,213
378,https://kawalpemilu.org#41907,"TIRTORAHAYU, GALUR, KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA",10,92,150,242
9574,https://kawalpemilu.org#42294,"CATURHARJO, SLEMAN, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",17,122,72,194
4527,https://kawalpemilu.org#42073,"KARANGREJEK, WONOSARI, GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA",15,168,67,235
9440,https://kawalpemilu.org#42290,"SUKOHARJO, NGAGLIK, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",7,100,37,137
1150,https://kawalpemilu.org#41961,"BANJARARUM, KALIBAWANG, KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA",13,120,75,195
10666,https://kawalpemilu.org#42343,"TEGALPANGGUNG, DANUREJAN, KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA",21,139,48,187
7566,https://kawalpemilu.org#42242,"SENDANGARUM, MINGGIR, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",7,138,76,214
7619,https://kawalpemilu.org#42244,"SENDANGAGUNG, MINGGIR, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",23,137,59,196
7205,https://kawalpemilu.org#42227,"TRIHANGGO, GAMPING, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",21,138,35,173
11069,https://kawalpemilu.org#42361,"PANEMBAHAN, KRATON, KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA",18,130,65,195
11339,https://kawalpemilu.org#42374,"SEMAKI, UMBULHARJO, KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA",13,161,53,214
3907,https://kawalpemilu.org#42050,"TIRTONIRMOLO, KASIHAN, BANTUL, DAERAH ISTIMEWA YOGYAKARTA",34,131,44,175
3880,https://kawalpemilu.org#42050,"TIRTONIRMOLO, KASIHAN, BANTUL, DAERAH ISTIMEWA YOGYAKARTA",7,97,135,232
9210,https://kawalpemilu.org#42284,"WEDOMARTANI, NGEMPLAK, SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",45,166,62,228
173,https://kawalpemilu.org#41889,"WATES, WATES, KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA",3,122,107,229
124,https://kawalpemilu.org#41886,"BENDUNGAN, WATES, KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA",15,150,40,190
3325,https://kawalpemilu.org#25890,"KAPUK MUARA, PENJARINGAN, JAKARTA UTARA, DKI JAKARTA",34,219,9,228
16592,https://kawalpemilu.org#26025,"GROGOL UTARA, KEBAYORAN LAMA, JAKARTA SELATAN, DKI JAKARTA",98,117,143,260
24027,https://kawalpemilu.org#26111,"CAKUNG BARAT, CAKUNG, JAKARTA TIMUR, DKI JAKARTA",163,143,51,194
16466,https://kawalpemilu.org#26024,"CIPULIR, KEBAYORAN LAMA, JAKARTA SELATAN, DKI JAKARTA",71,80,122,202
23192,https://kawalpemilu.org#26107,"RAWA TERATE, CAKUNG, JAKARTA TIMUR, DKI JAKARTA",60,49,95,141
24486,https://kawalpemilu.org#26115,"KLENDER, DUREN SAWIT, JAKARTA TIMUR, DKI JAKARTA",125,78,195,273
4194,https://kawalpemilu.org#25897,"SUNGAI BAMBU, TANJUNG PRIOK, JAKARTA UTARA, DKI JAKARTA",3,110,112,222
9592,https://kawalpemilu.org#25943,"MAPHAR, TAMAN SARI, JAKARTA BARAT, DKI JAKARTA",52,74,111,185
7912,https://kawalpemilu.org#25928,"RAWA BUAYA, CENGKARENG, JAKARTA BARAT, DKI JAKARTA",33,141,100,241
9484,https://kawalpemilu.org#25942,"KRUKUT, TAMAN SARI, JAKARTA BARAT, DKI JAKARTA",4,101,87,188
5556,https://kawalpemilu.org#25907,"RAWA BADAK SELATAN, KOJA, JAKARTA UTARA, DKI JAKARTA",81,192,60,252
8213,https://kawalpemilu.org#25930,"KAPUK, CENGKARENG, JAKARTA BARAT, DKI JAKARTA",43,163,87,250
8721,https://kawalpemilu.org#25931,"CENGKARENG TIMUR, CENGKARENG, JAKARTA BARAT, DKI JAKARTA",158,168,56,224
13660,https://kawalpemilu.org#25985,"MERUYA SELATAN, KEMBANGAN, JAKARTA BARAT, DKI JAKARTA",61,91,150,241
14614,https://kawalpemilu.org#25997,"MANGGARAI, TEBET, JAKARTA SELATAN, DKI JAKARTA",5,142,100,242
16494,https://kawalpemilu.org#26024,"CIPULIR, KEBAYORAN LAMA, JAKARTA SELATAN, DKI JAKARTA",100,161,97,258
19530,https://kawalpemilu.org#26064,"ULUJAMI, PESANGGRAHAN, JAKARTA SELATAN, DKI JAKARTA",2,105,89,194
11366,https://kawalpemilu.org#25968,"KEDOYA SELATAN, KEBON JERUK, JAKARTA BARAT, DKI JAKARTA",12,96,150,246
25137,https://kawalpemilu.org#26122,"PINANGRANTI, MAKASAR, JAKARTA TIMUR, DKI JAKARTA",27,77,156,233
11362,https://kawalpemilu.org#25968,"KEDOYA SELATAN, KEBON JERUK, JAKARTA BARAT, DKI JAKARTA",8,121,109,230
12822,https://kawalpemilu.org#25977,"SLIPI, PALMERAH, JAKARTA BARAT, DKI JAKARTA",1,93,46,139
19764,https://kawalpemilu.org#26068,"UTAN KAYU UTARA, MATRAMAN, JAKARTA TIMUR, DKI JAKARTA",32,96,127,223
25586,https://kawalpemilu.org#26127,"CIRACAS, CIRACAS, JAKARTA TIMUR, DKI JAKARTA",105,105,131,236
