Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
https://kawalpemilu.org#52966,"JURUMUDI BARU, BENDA, KOTA TANGERANG, BANTEN",2,40,132,172
https://kawalpemilu.org#51586,"TAMANJAYA, SUMUR, PANDEGLANG, BANTEN",8,116,16,132
https://kawalpemilu.org#51596,"CIMANGGU, CIMANGGU, PANDEGLANG, BANTEN",2,112,77,189
https://kawalpemilu.org#52066,"SANGKANMANIK, CIMARGA, LEBAK, BANTEN",3,40,158,198
https://kawalpemilu.org#51979,"MEKARWANGI, MUNCANG, LEBAK, BANTEN",2,20,144,164
https://kawalpemilu.org#52176,"KUJANGSARI, CIBEBER, LEBAK, BANTEN",1,121,119,240
https://kawalpemilu.org#52536,"KALIASIN, SUKAMULYA, TANGERANG, BANTEN",21,91,150,241
https://kawalpemilu.org#52105,"MUARA CIUJUNG TIMUR, RANGKASBITUNG, LEBAK, BANTEN",17,83,114,197
https://kawalpemilu.org#53048,"CIPADU, LARANGAN, KOTA TANGERANG, BANTEN",16,93,132,225
https://kawalpemilu.org#52311,"MATAGARA, TIGARAKSA, TANGERANG, BANTEN",28,111,130,241
https://kawalpemilu.org#52951,"MANIS JAYA, JATIUWUNG, KOTA TANGERANG, BANTEN",18,50,74,124
https://kawalpemilu.org#53227,"BENDA BARU, PAMULANG, KOTA TANGERANG SELATAN, BANTEN",26,124,68,192
https://kawalpemilu.org#52665,"DUKUH, KRAGILAN, SERANG, BANTEN",14,42,101,143
https://kawalpemilu.org#53027,"SUDIMARA PINANG, PINANG, KOTA TANGERANG, BANTEN",8,87,60,147
https://kawalpemilu.org#53113,"CIMUNCANG, SERANG, KOTA SERANG, BANTEN",28,77,152,229
https://kawalpemilu.org#51959,"LUHURJAYA, CIPANAS, LEBAK, BANTEN",8,108,120,228
https://kawalpemilu.org#52398,"SUKATANI, RAJEG, TANGERANG, BANTEN",54,99,124,223
https://kawalpemilu.org#53230,"PONDOK CABE ILIR, PAMULANG, KOTA TANGERANG SELATAN, BANTEN",24,80,141,221
https://kawalpemilu.org#52410,"MEKARSARI, RAJEG, TANGERANG, BANTEN",32,49,171,220
https://kawalpemilu.org#53230,"PONDOK CABE ILIR, PAMULANG, KOTA TANGERANG SELATAN, BANTEN",13,82,159,241
https://kawalpemilu.org#53142,"PASULUHAN, WALANTAKA, KOTA SERANG, BANTEN",10,66,166,232
https://kawalpemilu.org#53214,"SAWAH, CIPUTAT, KOTA TANGERANG SELATAN, BANTEN",24,101,105,206
https://kawalpemilu.org#52215,"SUKATANI, WANASALAM, LEBAK, BANTEN",6,65,125,190
https://kawalpemilu.org#52548,"CURUG SANGERENG, KELAPA DUA, TANGERANG, BANTEN",41,196,7,203
https://kawalpemilu.org#51694,"KADUBERA, PICUNG, PANDEGLANG, BANTEN",10,134,87,221
https://kawalpemilu.org#52489,"SUKADAMAI, CIKUPA, TANGERANG, BANTEN",42,33,113,146
https://kawalpemilu.org#53203,"PONDOK AREN, PONDOK AREN, KOTA TANGERANG SELATAN, BANTEN",58,74,125,199
https://kawalpemilu.org#51879,"SUKARAME, CARITA, PANDEGLANG, BANTEN",13,81,135,216
https://kawalpemilu.org#52042,"CIKAREO, CILELES, LEBAK, BANTEN",7,16,76,92
https://kawalpemilu.org#52546,"PAKULONAN BARAT, KELAPA DUA, TANGERANG, BANTEN",12,48,157,205
https://kawalpemilu.org#53216,"JOMBANG, CIPUTAT, KOTA TANGERANG SELATAN, BANTEN",75,113,115,228
https://kawalpemilu.org#53134,"NYAPAH, WALANTAKA, KOTA SERANG, BANTEN",11,61,177,238
https://kawalpemilu.org#52074,"PARUNGSARI, SAJIRA, LEBAK, BANTEN",2,20,197,217
https://kawalpemilu.org#52412,"SINDANGSARI, PASAR KEMIS, TANGERANG, BANTEN",12,42,106,148
https://kawalpemilu.org#52474,"CURUG WETAN, CURUG, TANGERANG, BANTEN",41,126,75,201
https://kawalpemilu.org#52969,"CIPONDOH MAKMUR, CIPONDOH, KOTA TANGERANG, BANTEN",44,88,125,213
https://kawalpemilu.org#52302,"SUMUR BANDUNG, JAYANTI, TANGERANG, BANTEN",9,44,112,156
https://kawalpemilu.org#51594,"CIBURIAL, CIMANGGU, PANDEGLANG, BANTEN",12,93,123,216
https://kawalpemilu.org#52479,"SUKAMULYA, CIKUPA, TANGERANG, BANTEN",44,37,126,163
https://kawalpemilu.org#52193,"CIHERANG, CIBEBER, LEBAK, BANTEN",6,61,111,172
https://kawalpemilu.org#52104,"CIJORO PASIR, RANGKASBITUNG, LEBAK, BANTEN",8,49,142,191
https://kawalpemilu.org#52246,"SANGIANGTANJUNG, KALANGANYAR, LEBAK, BANTEN",11,54,80,134
https://kawalpemilu.org#52495,"RANCA IYUH, PANONGAN, TANGERANG, BANTEN",23,0,0,0
https://kawalpemilu.org#53108,"SERANG, SERANG, KOTA SERANG, BANTEN",57,83,109,192
